0,1,2
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
0,20,1
0,21,1
0,22,1
0,23,1
0,24,1
0,25,1
0,26,-1
0,27,1
0,28,-1
0,29,1
0,30,1
0,31,1
0,32,1
0,33,1
0,34,1
0,35,1
0,36,1
0,37,1
0,38,1
0,39,1
0,40,1
1,0,1
1,3,1
1,4,1
1,41,1
1,42,1
1,6,1
1,43,1
1,44,1
1,45,1
1,46,1
1,47,1
1,48,1
1,49,1
1,50,1
1,51,1
1,52,1
1,53,1
1,54,1
1,55,1
1,56,1
1,57,1
1,58,1
1,59,1
1,60,1
1,11,1
1,61,1
1,62,-1
1,63,1
1,64,1
1,65,1
1,66,1
1,67,1
1,68,1
1,69,1
1,70,1
1,71,1
1,72,1
1,73,1
1,74,1
1,75,1
1,76,1
1,77,-1
1,27,1
1,78,1
1,79,1
2,0,1
2,3,1
2,6,1
3,0,1
3,1,1
3,2,1
3,80,1
3,4,1
3,41,1
3,42,1
3,5,1
3,6,1
3,43,1
3,44,1
3,81,1
3,82,1
3,45,1
3,83,1
3,84,1
3,7,1
3,85,1
3,8,1
3,86,1
3,46,1
3,87,1
3,88,1
3,89,1
3,47,1
3,48,1
3,90,1
3,91,1
3,92,1
3,93,1
3,94,1
3,95,1
3,96,1
3,97,1
3,98,1
3,50,1
3,99,1
3,100,1
3,51,-1
3,101,1
3,102,1
3,103,1
3,52,1
3,104,1
3,105,1
3,9,1
3,106,1
3,53,1
3,107,1
3,54,1
3,108,1
3,109,1
3,110,1
3,111,1
3,112,1
3,113,1
3,114,1
3,115,1
3,116,1
3,60,1
3,117,1
3,118,1
3,119,1
3,120,1
3,61,1
3,121,1
3,122,1
3,12,1
3,63,1
3,123,1
3,124,1
3,125,1
3,64,1
3,126,1
3,127,1
3,128,1
3,129,1
3,130,1
3,131,1
3,132,1
3,133,1
3,134,1
3,135,1
3,136,1
3,137,1
3,138,1
3,139,1
3,140,1
3,141,1
3,142,1
3,143,1
3,144,1
3,16,1
3,145,1
3,146,1
3,147,1
3,148,1
3,149,1
3,150,1
3,151,1
3,152,1
3,153,1
3,154,1
3,155,1
3,156,1
3,157,1
3,158,1
3,159,1
3,160,1
3,161,1
3,162,1
3,18,1
3,163,1
3,164,1
3,165,1
3,166,1
3,167,1
3,168,1
3,169,1
3,170,1
3,171,1
3,172,1
3,173,1
3,174,-1
3,175,1
3,176,1
3,177,1
3,178,1
3,179,1
3,76,1
3,180,1
3,181,1
3,182,1
3,183,1
3,184,-1
3,185,1
3,186,1
3,187,1
3,188,1
3,189,1
3,190,1
3,191,1
3,192,1
3,25,1
3,193,1
3,194,1
3,195,1
3,27,1
3,196,1
3,197,1
3,28,-1
3,198,1
3,199,1
3,29,1
3,200,1
3,201,1
3,202,1
3,203,1
3,204,1
3,30,1
3,205,1
3,206,1
3,207,1
3,208,1
3,209,1
3,210,1
3,211,1
3,212,1
3,213,1
3,214,-1
3,215,1
3,216,-1
3,34,1
3,217,1
3,218,1
3,219,1
3,220,1
3,221,1
3,222,1
3,223,1
3,35,1
3,224,1
3,225,1
3,226,1
3,227,-1
3,228,1
3,229,1
3,230,1
3,231,1
3,232,1
3,233,1
3,234,1
3,235,1
3,236,1
3,237,-1
3,39,1
3,238,-1
3,239,1
3,240,1
3,40,1
3,241,1
3,242,1
3,243,1
3,244,1
3,245,1
3,246,1
3,247,1
3,248,1
3,249,1
3,250,1
3,251,1
3,252,1
3,253,1
3,254,1
3,255,1
80,86,1
80,256,1
80,257,1
80,258,1
80,259,1
80,59,1
80,260,1
80,261,1
80,66,1
80,178,1
80,191,1
80,262,1
80,30,1
80,263,1
80,248,1
4,0,1
4,1,1
4,3,1
4,41,1
4,42,1
4,6,1
4,82,1
4,264,1
4,84,1
4,8,1
4,46,1
4,265,1
4,87,1
4,48,1
4,90,1
4,91,1
4,266,1
4,267,1
4,51,1
4,268,1
4,107,1
4,269,1
4,61,1
4,270,1
4,135,1
4,271,1
4,272,1
4,273,-1
4,66,1
4,274,1
4,275,1
4,157,1
4,161,1
4,18,1
4,276,1
4,164,1
4,169,1
4,77,-1
4,277,1
4,278,1
4,188,1
4,279,1
4,280,1
4,281,-1
4,194,1
4,196,1
4,29,1
4,30,1
4,282,1
4,217,1
4,219,1
4,283,1
4,284,1
4,285,1
4,286,1
4,287,1
4,288,1
4,289,1
4,290,1
4,291,1
4,292,1
4,293,1
4,294,1
42,0,-1
42,1,1
42,3,1
42,4,1
42,295,1
42,5,1
42,6,1
42,82,1
42,296,1
42,83,1
42,85,1
42,8,1
42,47,1
42,48,1
42,92,1
42,101,1
42,257,1
42,54,1
42,57,1
42,297,1
42,118,1
42,298,1
42,299,1
42,121,1
42,133,1
42,136,1
42,142,1
42,143,1
42,300,1
42,301,1
42,275,1
42,157,1
42,302,1
42,303,1
42,67,1
42,304,1
42,161,1
42,18,1
42,164,1
42,305,1
42,169,1
42,170,1
42,306,1
42,307,1
42,308,1
42,309,-1
42,310,1
42,311,1
42,312,1
42,313,1
42,314,1
42,315,1
42,69,1
42,172,1
42,173,1
42,71,1
42,21,1
42,316,1
42,317,-1
42,318,1
42,73,1
42,319,1
42,320,1
42,74,1
42,321,1
42,322,1
42,323,1
42,324,1
42,77,-1
42,325,1
42,183,1
42,326,1
42,327,1
42,184,1
42,328,1
42,186,1
42,329,1
42,330,1
42,331,1
42,332,1
42,333,1
42,190,1
42,191,-1
42,25,1
42,334,1
42,194,-1
42,196,1
42,335,1
42,198,1
42,336,1
42,337,1
42,338,1
42,339,1
42,203,1
42,205,1
42,340,1
42,341,1
42,208,1
42,342,1
42,343,1
42,344,1
42,345,1
42,346,1
42,214,-1
42,347,1
42,348,1
42,216,-1
42,33,1
42,349,1
42,217,1
42,218,1
42,350,1
42,219,1
42,351,1
42,352,1
42,353,1
42,354,1
42,220,1
42,355,1
42,356,1
42,357,1
42,358,1
42,359,1
42,360,1
42,361,1
42,362,1
42,363,1
42,364,1
42,223,1
42,365,1
42,366,1
42,367,1
42,368,1
42,36,-1
42,224,1
42,369,1
42,370,1
42,371,1
42,228,1
42,230,1
42,372,1
42,286,1
42,373,1
42,374,1
42,375,1
42,376,1
42,377,1
42,378,1
42,379,-1
42,380,1
42,381,-1
42,382,1
42,287,1
42,383,1
42,384,1
42,385,1
42,386,1
42,387,-1
42,388,1
42,389,1
42,390,1
42,391,1
42,392,-1
42,393,1
42,394,1
42,40,1
42,395,1
42,396,1
42,397,1
42,398,1
42,399,1
42,400,-1
42,401,1
42,402,1
42,403,1
42,404,1
42,405,1
42,406,1
42,407,1
42,242,1
42,78,1
42,408,1
42,409,1
42,410,1
42,411,1
42,412,-1
42,413,1
42,414,1
42,415,1
42,416,1
42,417,1
42,418,1
42,419,1
42,420,1
42,421,1
42,422,1
42,423,1
42,424,1
42,425,1
42,426,1
42,427,1
42,428,1
42,429,1
42,430,1
42,431,-1
42,432,1
42,433,1
42,434,1
42,435,-1
42,436,1
5,0,1
5,1,1
5,3,1
5,41,1
5,43,1
5,81,1
5,296,1
5,48,1
6,0,1
6,1,1
6,2,1
6,3,1
6,4,1
6,41,1
6,42,1
6,43,1
6,44,1
6,82,1
6,45,1
6,437,1
6,83,1
6,85,1
6,8,1
6,86,1
6,46,1
6,87,1
6,88,1
6,438,1
6,47,1
6,48,1
6,439,1
6,90,1
6,92,1
6,267,1
6,95,1
6,96,1
6,97,1
6,98,1
6,50,1
6,99,1
6,51,1
6,440,1
6,257,1
6,441,1
6,442,1
6,443,1
6,103,1
6,52,1
6,104,1
6,444,1
6,445,1
6,446,1
6,53,1
6,447,1
6,448,1
6,107,1
6,54,1
6,108,1
6,449,1
6,110,1
6,55,1
6,112,1
6,113,1
6,450,1
6,451,1
6,452,1
6,57,1
6,453,1
6,58,1
6,116,1
6,454,1
6,455,-1
6,118,1
6,456,1
6,457,1
6,119,1
6,458,1
6,459,1
6,460,1
6,11,1
6,299,1
6,61,1
6,461,1
6,62,1
6,462,1
6,463,1
6,464,1
6,465,1
6,121,1
6,466,1
6,122,1
6,12,1
6,467,1
6,468,1
6,469,1
6,470,1
6,471,1
6,472,1
6,473,1
6,128,1
6,130,1
6,474,1
6,475,1
6,133,1
6,15,1
6,476,1
6,477,1
6,478,1
6,479,1
6,134,1
6,135,1
6,480,1
6,481,-1
6,482,1
6,483,1
6,484,1
6,485,1
6,486,1
6,487,1
6,488,1
6,489,1
6,490,1
6,491,1
6,145,1
6,492,1
6,493,1
6,494,1
6,495,-1
6,496,1
6,497,1
6,498,1
6,499,1
6,500,1
6,501,1
6,502,1
6,503,-1
6,504,1
6,275,1
6,505,1
6,506,1
6,507,1
6,155,1
6,508,1
6,509,1
6,158,1
6,510,1
6,511,1
6,161,1
6,512,1
6,513,1
6,18,1
6,276,1
6,164,1
6,514,1
6,165,1
6,515,1
6,516,1
6,517,1
6,518,1
6,170,1
6,312,1
6,313,1
6,314,1
6,315,1
6,519,1
6,520,1
6,521,1
6,522,1
6,523,1
6,524,1
6,525,1
6,526,1
6,527,1
6,528,1
6,529,1
6,530,1
6,531,1
6,532,1
6,183,1
6,533,1
6,534,-1
6,535,1
6,536,1
6,537,1
6,538,1
6,278,1
6,184,1
6,539,1
6,540,1
6,541,1
6,186,1
6,542,1
6,543,1
6,544,1
6,545,1
6,330,1
6,332,1
6,546,-1
6,191,1
6,192,1
6,25,1
6,193,1
6,547,1
6,334,1
6,548,1
6,549,1
6,29,1
6,200,-1
6,550,1
6,203,1
6,551,1
6,341,1
6,282,1
6,552,1
6,553,1
6,554,1
6,347,1
6,555,1
6,219,1
6,556,1
6,36,1
6,557,1
6,225,1
6,558,1
6,559,1
6,560,1
6,561,1
6,562,1
6,563,1
6,564,1
6,565,1
6,566,1
6,240,1
6,567,1
6,568,1
6,569,1
6,570,1
6,571,1
6,572,1
6,573,1
43,1,1
43,3,1
43,41,1
43,5,1
43,6,1
43,81,1
43,86,1
43,46,1
43,49,1
43,50,1
43,9,1
43,53,1
43,259,1
43,469,1
43,574,1
43,136,1
43,575,1
43,576,1
43,577,1
43,578,1
43,579,1
43,374,1
81,3,1
82,3,1
82,4,1
82,41,1
82,42,1
82,6,1
82,44,1
82,45,1
82,437,1
82,46,1
82,100,1
82,56,1
82,480,1
82,580,1
82,496,1
82,161,1
82,24,1
82,581,1
82,582,1
82,583,1
82,407,1
82,584,-1
82,585,-1
82,586,-1
82,587,-1
82,588,-1
82,589,1
45,3,1
45,6,1
45,44,1
45,82,1
45,7,1
45,87,1
45,590,1
45,443,1
45,448,1
45,591,1
45,592,1
45,593,1
45,594,1
45,595,1
45,189,1
45,596,1
45,597,1
45,598,1
264,4,1
264,8,1
264,599,1
264,600,1
264,601,1
264,602,1
264,23,1
264,28,-1
264,603,1
264,604,1
264,605,1
264,606,1
437,6,1
437,8,1
437,590,1
437,53,1
437,591,1
437,607,1
437,397,1
83,3,1
83,42,1
83,6,1
83,89,1
83,608,1
83,50,1
83,51,1
83,54,1
83,116,1
83,609,1
83,11,1
83,462,1
83,121,1
83,466,1
83,12,1
83,127,1
83,610,1
83,132,1
83,133,1
83,15,1
83,611,1
83,135,1
83,612,1
83,613,1
83,490,1
83,614,1
83,615,1
83,616,1
83,523,1
83,617,1
83,618,1
83,619,1
83,620,1
84,3,1
84,4,1
7,0,1
7,3,1
7,45,1
7,188,1
7,621,1
7,622,1
85,3,1
85,42,1
85,6,1
8,0,1
8,3,1
8,42,1
8,6,1
8,264,1
8,437,1
8,623,1
8,92,1
8,590,1
8,256,1
8,624,1
8,101,1
8,257,1
8,52,1
8,112,1
8,56,1
8,609,1
8,119,1
8,625,1
8,626,1
8,127,1
8,627,1
8,15,1
8,483,1
8,142,1
8,143,1
8,607,1
8,628,1
8,629,1
8,630,1
8,631,1
8,632,1
8,633,1
8,153,1
8,503,-1
8,157,1
8,165,1
8,19,1
8,634,1
8,169,1
8,20,1
8,317,1
8,178,1
8,323,1
8,635,1
8,180,1
8,636,1
8,531,1
8,325,1
8,637,1
8,638,1
8,639,1
8,640,1
8,641,1
8,642,1
8,643,1
8,644,1
8,184,1
8,328,1
8,645,1
8,646,1
8,647,1
8,648,1
8,649,1
8,650,1
8,651,1
8,544,1
8,188,1
8,189,1
8,190,1
8,546,1
8,191,1
8,652,1
8,653,1
8,654,1
8,655,1
8,656,1
8,657,1
8,658,1
8,659,1
8,660,1
8,661,1
8,194,1
8,662,1
8,663,1
8,664,1
8,665,1
8,28,1
8,666,-1
8,335,1
8,198,1
8,667,1
8,668,1
8,669,1
8,670,1
8,671,1
8,672,1
8,673,1
8,674,1
8,675,1
8,676,1
8,677,1
8,678,1
8,199,1
8,29,1
8,679,1
8,680,1
8,681,1
8,262,1
8,682,1
8,683,1
8,684,1
8,685,1
8,686,1
8,687,1
8,688,1
8,689,1
8,690,1
8,691,1
8,692,1
8,693,1
8,694,1
8,695,1
8,696,1
8,697,1
8,698,1
8,699,1
8,700,1
8,550,1
8,701,1
8,338,1
8,702,1
8,703,1
8,704,1
8,705,1
8,706,1
8,707,1
8,708,1
8,203,1
8,204,1
8,709,1
8,710,1
8,711,1
8,712,1
8,713,1
8,340,1
8,714,1
8,715,1
8,716,1
8,717,1
8,206,1
8,718,1
8,719,1
8,720,1
8,721,1
8,341,1
8,722,1
8,723,1
8,724,1
8,725,1
8,726,1
8,727,1
8,728,1
8,729,1
8,282,1
8,730,1
8,731,1
8,732,1
8,342,1
8,733,1
8,734,1
8,735,1
8,736,1
8,554,1
8,737,1
8,738,1
8,739,1
8,740,1
8,741,1
8,742,1
8,743,1
8,744,1
8,745,1
8,746,1
8,747,1
8,748,1
8,347,1
8,749,1
8,750,1
8,751,1
8,752,1
8,753,1
8,754,1
8,755,1
8,756,1
8,33,1
8,757,1
8,758,1
8,759,1
8,760,1
8,761,1
8,762,1
8,763,1
8,764,1
8,765,1
8,766,1
8,767,1
8,768,1
8,354,1
8,769,1
8,355,1
8,770,1
8,771,1
8,772,1
8,773,1
8,221,1
8,774,1
8,775,1
8,776,1
8,777,1
8,778,1
8,779,1
8,780,1
8,781,1
8,782,1
8,783,1
8,784,1
8,785,1
8,786,1
8,787,1
8,788,1
8,364,1
8,789,1
8,790,1
8,791,1
8,792,1
8,793,1
8,794,1
8,795,-1
8,226,1
8,796,1
8,797,1
8,798,1
8,799,1
8,800,1
8,801,1
8,802,1
8,803,1
8,804,1
8,805,1
8,263,1
8,806,1
8,807,1
8,808,1
8,809,1
8,810,1
8,811,1
8,374,1
8,812,1
8,377,1
8,813,1
8,814,1
8,380,1
8,815,1
8,816,1
8,817,1
8,818,1
8,819,1
8,820,1
8,821,1
8,822,1
8,823,1
8,824,1
8,825,1
8,826,1
8,827,1
8,563,1
8,828,1
8,829,1
