,SGCN,SGCN,2-period SGCN,2-period SGCN,3-period SGCN,3-period SGCN
0,0.801652312,0.533573999,1.163499355,0.593012052,2.05545187,0.624046027
1,0.754096568,0.570291964,1.008581758,0.588490629,1.649295688,0.59283909
2,0.763810337,0.584765707,0.916799664,0.589204042,1.449144006,0.600426756
3,0.755893409,0.594156885,0.88157326,0.607722248,1.44317627,0.595456946
4,0.744850278,0.597421925,0.886324406,0.623955167,1.3049438,0.576390406
5,0.746992588,0.594297115,0.867229521,0.626927267,1.244328976,0.551864727
6,0.752871275,0.589018053,0.847114921,0.622562714,1.255784512,0.540484815
7,0.752691031,0.584897617,0.849953592,0.618675448,1.188744664,0.545936948
8,0.748295009,0.582909212,0.843916059,0.620188866,1.120239973,0.560899691
9,0.746138394,0.58270308,0.827043295,0.626641661,1.105352998,0.574157883
10,0.748394549,0.582919611,0.810987234,0.635331467,1.084733248,0.582203133
11,0.750572264,0.582110084,0.804426908,0.642785909,1.03346467,0.585829861
12,0.749064922,0.579928683,0.796147823,0.647427639,0.993481278,0.590322603
13,0.745674789,0.576509619,0.780619919,0.649308546,0.988362491,0.60169945
14,0.744006991,0.572514854,0.764728963,0.650684032,0.973207474,0.624099886
15,0.74453336,0.569406246,0.759869099,0.654038837,0.954281569,0.663094163
16,0.745153427,0.567479581,0.75536859,0.660800227,0.931804895,0.688715085
17,0.744056642,0.567307166,0.750433981,0.671164371,0.929834545,0.699118638
18,0.742142737,0.567969786,0.740355968,0.681619703,0.928396285,0.696835431
19,0.741101265,0.569278932,0.738626122,0.689378362,0.902078986,0.686363678
20,0.741538882,0.570414132,0.736329913,0.69309792,0.880204916,0.673348837
21,0.742407799,0.570890763,0.730239213,0.692549805,0.880594969,0.659538918
22,0.741962671,0.570606361,0.721933365,0.68870173,0.881609678,0.647386369
23,0.740844667,0.569707615,0.716198802,0.68300953,0.860051572,0.639868435
24,0.740090907,0.568796172,0.71354574,0.67612827,0.857139111,0.638913641
25,0.740008712,0.568221785,0.706025124,0.668812964,0.857803464,0.642638016
26,0.740082204,0.568025287,0.700695753,0.662515835,0.848887682,0.64877729
27,0.739147127,0.568551288,0.701250136,0.658325557,0.829266131,0.656818927
28,0.738010943,0.569525568,0.700611711,0.655939886,0.830122352,0.666846452
29,0.737168372,0.57087686,0.695616663,0.654682847,0.833203971,0.681559276
30,0.736654043,0.572368055,0.691884458,0.654495216,0.815633178,0.694293328
31,0.736347973,0.573732594,0.688228011,0.655846728,0.805160105,0.705014233
32,0.735441685,0.575015687,0.686333835,0.659125561,0.803466439,0.713588659
33,0.734369397,0.57638756,0.681370258,0.664714641,0.796608984,0.71884736
34,0.73351723,0.577899773,0.678308845,0.672065306,0.792426765,0.720668058
35,0.733192384,0.579801807,0.675988138,0.679611593,0.780569196,0.719447472
36,0.732186258,0.582309318,0.671518087,0.6868587,0.778835833,0.716220855
37,0.731132329,0.58528098,0.669663072,0.693459826,0.77340734,0.711839116
38,0.729773819,0.588623196,0.66805011,0.698879776,0.76927501,0.70774123
39,0.728745699,0.591874225,0.664155662,0.70328943,0.766120493,0.7052543
40,0.727220178,0.594743423,0.665271282,0.706415663,0.766103089,0.704964206
41,0.725665748,0.597611308,0.659086704,0.708431874,0.762262404,0.706878391
42,0.724173844,0.600856643,0.656643212,0.709387106,0.754831314,0.710775837
43,0.722832382,0.605086768,0.655462384,0.709641294,0.746291041,0.716592505
44,0.720752716,0.61019659,0.653180838,0.709752078,0.741023779,0.722998666
45,0.718573034,0.614925348,0.651111186,0.710189518,0.736242592,0.729644346
46,0.716036201,0.620155259,0.647971809,0.710893079,0.733829796,0.735896046
47,0.714153469,0.623951008,0.647320926,0.712184054,0.724879801,0.741352887
48,0.711285293,0.62811764,0.643751323,0.714125607,0.724286139,0.745348746
49,0.708661497,0.633218047,0.643234789,0.716825128,0.715792418,0.747365723
50,0.706258416,0.639702698,0.640695989,0.719975225,0.714838088,0.747460415
51,0.703678131,0.649079974,0.637529969,0.72356736,0.706770778,0.746139883
52,0.700789869,0.660659011,0.638170183,0.727515929,0.708277464,0.744491709
53,0.69643563,0.6687787,0.632537782,0.731518904,0.702053189,0.743532645
54,0.693137586,0.674540414,0.632946312,0.735594129,0.698169053,0.744054925
55,0.688834429,0.684219169,0.628622353,0.739165575,0.688187838,0.746168126
56,0.687032521,0.692132288,0.626178443,0.74209312,0.685096622,0.74963667
57,0.684249699,0.695210792,0.624609888,0.744354981,0.680163383,0.75401425
58,0.681620955,0.702200317,0.623043478,0.745938897,0.673686504,0.758665176
59,0.677701354,0.70379091,0.62189877,0.747169444,0.669440031,0.76345469
60,0.674286246,0.706650038,0.619057596,0.747965179,0.675024331,0.767745023
61,0.670031607,0.714074813,0.616024137,0.748563102,0.66764766,0.771107491
62,0.66761595,0.712481593,0.612271667,0.749392444,0.663873851,0.773118228
63,0.669325233,0.734928554,0.614626765,0.750501699,0.655038059,0.773469407
64,0.675541759,0.711474801,0.612219393,0.752100503,0.652172446,0.772811385
65,0.657994092,0.729678939,0.610197723,0.754083107,0.651615441,0.772510563
66,0.6677863,0.741471771,0.606703341,0.756420721,0.649164677,0.773316478
67,0.660459042,0.716355175,0.606262803,0.759057515,0.641427875,0.775298097
68,0.65398401,0.716819764,0.609270334,0.761863768,0.641406953,0.777909275
69,0.656957448,0.73382302,0.602209687,0.764672101,0.63391906,0.78107426
70,0.646082997,0.72443841,0.601986706,0.767300248,0.632016242,0.784120799
71,0.651085258,0.716093104,0.598695695,0.769573055,0.634327054,0.786818349
72,0.639776945,0.729571221,0.598118961,0.771205028,0.622999609,0.788387705
73,0.644233167,0.74334589,0.597317636,0.772485056,0.624240756,0.789341952
74,0.639870405,0.734799489,0.593067229,0.773459883,0.619926929,0.789505718
75,0.637799025,0.741388683,0.592281997,0.774313637,0.615403414,0.790596364
76,0.635566175,0.758274041,0.593546569,0.775207346,0.611363292,0.791860519
77,0.630064189,0.755932377,0.590975225,0.776291752,0.611147583,0.794275966
78,0.632538021,0.751354248,0.590414464,0.777557111,0.606313109,0.796733558
79,0.624721766,0.758226312,0.588121593,0.77916938,0.608707309,0.798614794
80,0.628151774,0.762635529,0.585175931,0.780807373,0.605694711,0.799760065
81,0.622633338,0.755711686,0.583578527,0.782412855,0.600095987,0.799954045
82,0.620077133,0.75795023,0.582388341,0.783979802,0.600772977,0.800608235
83,0.621838987,0.765583436,0.584230006,0.785222611,0.595963001,0.80190129
84,0.616653383,0.762601046,0.584041893,0.786195905,0.599589348,0.803182632
85,0.615487278,0.761932406,0.578953624,0.787024371,0.58931762,0.803817227
86,0.61291796,0.767869708,0.578722119,0.787696624,0.5948686,0.80413644
87,0.609459996,0.766897728,0.576941907,0.788292795,0.591216266,0.805553305
88,0.609844625,0.765605658,0.576784015,0.788786722,0.589228392,0.806585385
89,0.60728097,0.771120189,0.574339926,0.789232154,0.585534811,0.808537666
90,0.603050172,0.770791452,0.572643697,0.789963849,0.586027503,0.81110429
91,0.604652643,0.770939564,0.572946787,0.790934735,0.58210665,0.812488643
92,0.600154459,0.774519658,0.567303896,0.792264024,0.581648827,0.812148083
93,0.598701835,0.773546474,0.568356335,0.793779521,0.58113426,0.811061487
94,0.596667826,0.775166514,0.565892935,0.79492107,0.577674031,0.811451418
95,0.595545173,0.777056726,0.567922056,0.795776904,0.579498231,0.813511964
96,0.59664923,0.77596411,0.562298834,0.79629765,0.572240412,0.816068517
